Date,Open,High,Low,Close,Adj Close,Volume
1991-01-04,78.592934,78.592934,78.592934,78.592934,38.787136,0
1991-01-07,null,null,null,null,null,null
1991-01-08,81.399826,81.399826,81.399826,81.399826,40.172390,0
1991-01-09,null,null,null,null,null,null
1991-01-10,80.698105,80.698105,80.698105,80.698105,39.826080,0
1991-01-11,null,null,null,null,null,null
1991-01-14,null,null,null,null,null,null
1991-01-15,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-16,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-17,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-18,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-21,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-22,82.101547,82.101547,82.101547,82.101547,40.518711,0
1991-01-23,null,null,null,null,null,null
1991-01-24,null,null,null,null,null,null
1991-01-25,null,null,null,null,null,null
1991-01-28,75.084320,75.084320,75.084320,75.084320,37.055576,0
1991-01-29,75.084320,75.084320,75.084320,75.084320,37.055576,0
1991-01-30,75.084320,75.084320,75.084320,75.084320,37.055576,0
1991-01-31,null,null,null,null,null,null
1991-02-01,null,null,null,null,null,null
1991-02-04,null,null,null,null,null,null
1991-02-05,null,null,null,null,null,null
1991-02-06,null,null,null,null,null,null
1991-02-07,null,null,null,null,null,null
1991-02-08,null,null,null,null,null,null
1991-02-11,null,null,null,null,null,null
1991-02-12,80.698105,80.698105,80.698105,80.698105,39.826080,0
1991-02-13,null,null,null,null,null,null
1991-02-14,null,null,null,null,null,null
1991-02-15,null,null,null,null,null,null
1991-02-18,85.610161,85.610161,85.610161,85.610161,42.250278,0
1991-02-19,null,null,null,null,null,null
1991-02-20,null,null,null,null,null,null
1991-02-21,null,null,null,null,null,null
1991-02-22,null,null,null,null,null,null
1991-02-25,95.434280,95.434280,95.434280,95.434280,47.098663,0
1991-02-26,null,null,null,null,null,null
1991-02-27,null,null,null,null,null,null
1991-02-28,null,null,null,null,null,null
1991-03-01,99.644615,99.644615,99.644615,99.644615,49.176544,0
1991-03-04,null,null,null,null,null,null
1991-03-05,null,null,null,null,null,null
1991-03-06,104.556671,104.556671,104.556671,104.556671,51.600758,0
1991-03-07,null,null,null,null,null,null
1991-03-08,null,null,null,null,null,null
1991-03-11,null,null,null,null,null,null
1991-03-12,null,null,null,null,null,null
1991-03-13,null,null,null,null,null,null
1991-03-14,90.522217,90.522217,90.522217,90.522217,44.674484,0
1991-03-15,null,null,null,null,null,null
1991-03-18,null,null,null,null,null,null
1991-03-19,90.522217,90.522217,90.522217,90.522217,44.674484,0
1991-03-20,null,null,null,null,null,null
1991-03-21,null,null,null,null,null,null
1991-03-22,null,null,null,null,null,null
1991-03-25,null,null,null,null,null,null
1991-03-26,null,null,null,null,null,null
1991-03-27,null,null,null,null,null,null
1991-03-28,89.118774,89.118774,89.118774,89.118774,43.981857,0
1991-03-29,89.118774,89.118774,89.118774,89.118774,43.981857,0
1991-04-01,null,null,null,null,null,null
1991-04-02,null,null,null,null,null,null
1991-04-03,null,null,null,null,null,null
1991-04-04,null,null,null,null,null,null
1991-04-05,null,null,null,null,null,null
1991-04-08,null,null,null,null,null,null
1991-04-09,null,null,null,null,null,null
1991-04-10,94.311523,94.311523,94.311523,94.311523,46.544571,0
1991-04-11,null,null,null,null,null,null
1991-04-12,null,null,null,null,null,null
1991-04-15,null,null,null,null,null,null
1991-04-16,null,null,null,null,null,null
1991-04-17,97.679787,97.679787,97.679787,97.679787,48.206879,0
1991-04-18,null,null,null,null,null,null
1991-04-19,null,null,null,null,null,null
1991-04-22,null,null,null,null,null,null
1991-04-23,null,null,null,null,null,null
1991-04-24,null,null,null,null,null,null
1991-04-25,null,null,null,null,null,null
1991-04-26,null,null,null,null,null,null
1991-04-29,null,null,null,null,null,null
1991-04-30,null,null,null,null,null,null
1991-05-01,97.679787,97.679787,97.679787,97.679787,48.206879,0
1991-05-02,97.679787,97.679787,97.679787,97.679787,48.206879,0
1991-05-03,null,null,null,null,null,null
1991-05-06,null,null,null,null,null,null
1991-05-07,null,null,null,null,null,null
1991-05-08,null,null,null,null,null,null
1991-05-09,null,null,null,null,null,null
1991-05-10,null,null,null,null,null,null
1991-05-13,null,null,null,null,null,null
1991-05-14,null,null,null,null,null,null
1991-05-15,108.065285,108.065285,108.065285,108.065285,53.332314,0
1991-05-16,null,null,null,null,null,null
1991-05-17,null,null,null,null,null,null
1991-05-20,null,null,null,null,null,null
1991-05-21,null,null,null,null,null,null
1991-05-22,108.345978,108.345978,108.345978,108.345978,53.470840,0
1991-05-23,null,null,null,null,null,null
1991-05-24,107.223221,107.223221,107.223221,107.223221,52.916744,0
1991-05-27,null,null,null,null,null,null
1991-05-28,105.819771,105.819771,105.819771,105.819771,52.224117,0
1991-05-29,null,null,null,null,null,null
1991-05-30,null,null,null,null,null,null
1991-05-31,null,null,null,null,null,null
1991-06-03,null,null,null,null,null,null
1991-06-04,null,null,null,null,null,null
1991-06-05,null,null,null,null,null,null
1991-06-06,null,null,null,null,null,null
1991-06-07,null,null,null,null,null,null
1991-06-10,96.276344,96.276344,96.276344,96.276344,47.514259,0
1991-06-11,null,null,null,null,null,null
1991-06-12,null,null,null,null,null,null
1991-06-13,null,null,null,null,null,null
1991-06-14,99.363922,99.363922,99.363922,99.363922,49.038025,0
1991-06-17,null,null,null,null,null,null
1991-06-18,null,null,null,null,null,null
1991-06-19,null,null,null,null,null,null
