Date,Open,High,Low,Close,Adj Close,Volume
2001-11-26,1.560000,1.560000,1.560000,1.560000,1.276797,60
2001-11-27,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-11-28,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-11-29,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-11-30,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-03,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-04,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-05,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-06,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-07,1.560000,1.560000,1.560000,1.560000,1.276797,10
2001-12-10,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-11,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-12,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-13,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-14,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-17,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-18,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-19,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-20,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-21,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-24,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-25,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-26,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-27,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-28,1.560000,1.560000,1.560000,1.560000,1.276797,0
2001-12-31,1.560000,1.560000,1.560000,1.560000,1.276797,0
2002-01-01,1.560000,1.560000,1.560000,1.560000,1.276797,0
2002-01-02,2.811638,2.811638,2.811638,2.811638,2.301213,256
2002-01-03,null,null,null,null,null,null
2002-01-04,null,null,null,null,null,null
2002-01-07,3.213580,3.293578,3.213580,3.293578,2.695661,512
2002-01-08,3.453574,3.453574,3.453574,3.453574,2.826611,256
2002-01-09,null,null,null,null,null,null
2002-01-10,null,null,null,null,null,null
2002-01-11,null,null,null,null,null,null
2002-01-14,null,null,null,null,null,null
2002-01-15,null,null,null,null,null,null
2002-01-16,null,null,null,null,null,null
2002-01-17,null,null,null,null,null,null
2002-01-18,3.293578,3.293578,3.293578,3.293578,2.695661,256
2002-01-21,null,null,null,null,null,null
2002-01-22,null,null,null,null,null,null
2002-01-23,null,null,null,null,null,null
2002-01-24,null,null,null,null,null,null
2002-01-25,null,null,null,null,null,null
2002-01-28,2.815541,2.815541,2.815541,2.815541,2.304407,256
2002-01-29,null,null,null,null,null,null
2002-01-30,null,null,null,null,null,null
2002-01-31,null,null,null,null,null,null
2002-02-01,2.971634,3.133582,2.971634,2.971634,2.432163,512
2002-02-04,null,null,null,null,null,null
2002-02-05,null,null,null,null,null,null
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
