Date,Open,High,Low,Close,Adj Close,Volume
1991-01-04,21.388887,21.388887,21.388887,21.388887,13.487262,0
1991-01-07,null,null,null,null,null,null
1991-01-08,21.666666,21.666666,21.666666,21.666666,13.662419,0
1991-01-09,null,null,null,null,null,null
1991-01-10,21.944445,21.944445,21.944445,21.944445,13.837574,0
1991-01-11,null,null,null,null,null,null
1991-01-14,null,null,null,null,null,null
1991-01-15,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-16,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-17,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-18,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-21,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-22,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-01-23,null,null,null,null,null,null
1991-01-24,null,null,null,null,null,null
1991-01-25,null,null,null,null,null,null
1991-01-28,20.000000,20.000000,20.000000,20.000000,12.611465,0
1991-01-29,20.000000,20.000000,20.000000,20.000000,12.611465,0
1991-01-30,20.000000,20.000000,20.000000,20.000000,12.611465,0
1991-01-31,null,null,null,null,null,null
1991-02-01,null,null,null,null,null,null
1991-02-04,null,null,null,null,null,null
1991-02-05,null,null,null,null,null,null
1991-02-06,null,null,null,null,null,null
1991-02-07,null,null,null,null,null,null
1991-02-08,null,null,null,null,null,null
1991-02-11,null,null,null,null,null,null
1991-02-12,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-02-13,null,null,null,null,null,null
1991-02-14,null,null,null,null,null,null
1991-02-15,null,null,null,null,null,null
1991-02-18,22.222221,22.222221,22.222221,22.222221,14.012732,0
1991-02-19,null,null,null,null,null,null
1991-02-20,null,null,null,null,null,null
1991-02-21,null,null,null,null,null,null
1991-02-22,null,null,null,null,null,null
1991-02-25,27.500000,27.500000,27.500000,27.500000,17.340761,0
1991-02-26,null,null,null,null,null,null
1991-02-27,null,null,null,null,null,null
1991-02-28,null,null,null,null,null,null
1991-03-01,28.333332,28.333332,28.333332,28.333332,17.866236,0
1991-03-04,null,null,null,null,null,null
1991-03-05,null,null,null,null,null,null
1991-03-06,28.888887,28.888887,28.888887,28.888887,18.216557,0
1991-03-07,null,null,null,null,null,null
1991-03-08,null,null,null,null,null,null
1991-03-11,null,null,null,null,null,null
1991-03-12,null,null,null,null,null,null
1991-03-13,null,null,null,null,null,null
1991-03-14,24.722221,24.722221,24.722221,24.722221,15.589166,0
1991-03-15,null,null,null,null,null,null
1991-03-18,null,null,null,null,null,null
1991-03-19,25.277777,25.277777,25.277777,25.277777,15.939487,0
1991-03-20,null,null,null,null,null,null
1991-03-21,null,null,null,null,null,null
1991-03-22,null,null,null,null,null,null
1991-03-25,null,null,null,null,null,null
1991-03-26,null,null,null,null,null,null
1991-03-27,null,null,null,null,null,null
1991-03-28,25.000000,25.000000,25.000000,25.000000,15.764329,0
1991-03-29,25.000000,25.000000,25.000000,25.000000,15.764329,0
1991-04-01,null,null,null,null,null,null
1991-04-02,null,null,null,null,null,null
1991-04-03,null,null,null,null,null,null
1991-04-04,null,null,null,null,null,null
1991-04-05,null,null,null,null,null,null
1991-04-08,null,null,null,null,null,null
1991-04-09,null,null,null,null,null,null
1991-04-10,27.500000,27.500000,27.500000,27.500000,17.340761,0
1991-04-11,null,null,null,null,null,null
1991-04-12,null,null,null,null,null,null
1991-04-15,null,null,null,null,null,null
1991-04-16,null,null,null,null,null,null
1991-04-17,25.333332,25.333332,25.333332,25.333332,15.974517,0
1991-04-18,null,null,null,null,null,null
1991-04-19,null,null,null,null,null,null
1991-04-22,null,null,null,null,null,null
1991-04-23,null,null,null,null,null,null
1991-04-24,null,null,null,null,null,null
1991-04-25,null,null,null,null,null,null
1991-04-26,null,null,null,null,null,null
1991-04-29,null,null,null,null,null,null
1991-04-30,null,null,null,null,null,null
1991-05-01,20.666666,20.666666,20.666666,20.666666,13.031846,0
1991-05-02,20.666666,20.666666,20.666666,20.666666,13.031846,0
1991-05-03,null,null,null,null,null,null
1991-05-06,null,null,null,null,null,null
1991-05-07,null,null,null,null,null,null
1991-05-08,null,null,null,null,null,null
1991-05-09,null,null,null,null,null,null
1991-05-10,null,null,null,null,null,null
1991-05-13,null,null,null,null,null,null
1991-05-14,null,null,null,null,null,null
1991-05-15,21.444445,21.444445,21.444445,21.444445,13.522293,0
1991-05-16,null,null,null,null,null,null
1991-05-17,null,null,null,null,null,null
1991-05-20,null,null,null,null,null,null
1991-05-21,null,null,null,null,null,null
1991-05-22,24.000000,24.000000,24.000000,24.000000,15.133751,0
1991-05-23,null,null,null,null,null,null
1991-05-24,23.555555,23.555555,23.555555,23.555555,14.853496,0
1991-05-27,null,null,null,null,null,null
1991-05-28,23.666666,23.666666,23.666666,23.666666,14.923565,0
1991-05-29,null,null,null,null,null,null
1991-05-30,null,null,null,null,null,null
1991-05-31,null,null,null,null,null,null
1991-06-03,null,null,null,null,null,null
1991-06-04,null,null,null,null,null,null
1991-06-05,null,null,null,null,null,null
1991-06-06,null,null,null,null,null,null
1991-06-07,null,null,null,null,null,null
1991-06-10,23.333332,23.333332,23.333332,23.333332,14.713371,0
1991-06-11,null,null,null,null,null,null
1991-06-12,null,null,null,null,null,null
1991-06-13,null,null,null,null,null,null
