,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.9935726710831618,7.433733345177666,119.49308290845099,10.93128916955594
TATAMOTORS,0.9970801350211019,5.095832317392676,63.81512735496779,7.988437103399375
ITC,0.9986915912981813,2.127572362025316,12.86036632086687,3.5861352903741475
CIPLA,0.9979260846531215,6.185151902409399,101.06032442888149,10.052876425624731
RAYMOND,0.9959003114126164,9.217907841745728,216.7771199896653,14.72335287866406
BAJAJELECTRICALS,0.9956831328674719,6.237592380415944,129.42748008820004,11.376619888534558
L&T,0.9982181055876366,11.216849354931416,378.9638146958673,19.466992954636506
RELIANCE,0.9983451625013176,9.234755163362246,334.45680078492023,18.288160125745843
SBI,0.9963785082128316,4.046141925679949,41.13624665129084,6.413754489477348
TATASTEEL,0.9948602841044051,9.304907238851559,210.9281118391368,14.523364342986676
TCS,0.9984206455475292,17.41365150939131,881.8992754847523,29.696788975994565
