,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.9968739206577525,5.1010996168060245,58.11821097920972,7.623530086463208
TATAMOTORS,0.9985197146206904,3.457115090453775,32.35238638945191,5.687915821234691
ITC,0.9993627920954377,1.4139335036405862,6.263124865978548,2.5026235965439443
CIPLA,0.9990783416545657,3.9294048653581313,44.911713268513935,6.7016201972742335
RAYMOND,0.9977629326090006,6.582925088700929,118.28825919510189,10.876040602861957
BAJAJELECTRICALS,0.998345456751786,3.899489621979969,49.60619744343988,7.043166719838448
L&T,0.9991378050787953,7.570522253507527,183.3670244903705,13.541308078999256
RELIANCE,0.9992035996129199,6.275305465682921,160.9593242954378,12.686974591896911
SBI,0.9984587646420979,2.5349971467025703,17.506773881136446,4.184109687990558
TATASTEEL,0.9974416771200557,6.394997097039274,104.99066981581683,10.246495489474283
TCS,0.9993524988580894,10.638549530661665,361.55961509029896,19.014721010056892
