,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.9965027893647564,5.38021343671319,65.01806361437208,8.06337792828614
TATAMOTORS,0.9982255673290711,3.867608478547054,38.78112436585295,6.227449266421441
ITC,0.9992507035303798,1.5715038681093425,7.364844844622116,2.7138247630645047
CIPLA,0.9988178445813831,4.476388958953229,57.605538389308286,7.589831249066628
RAYMOND,0.9974681465734452,7.304440234180897,133.8755084309419,11.570458436507254
BAJAJELECTRICALS,0.9976921410322616,4.523680183838816,69.19378369155788,8.318280092155943
L&T,0.9989577325320881,8.515176053823833,221.66389480362315,14.888381201582096
RELIANCE,0.9990044349669696,7.096916885798588,201.2122013102823,14.184928667789707
SBI,0.9980722333836191,2.905919190309405,21.897352714853426,4.679460729064133
TATASTEEL,0.9972225389104821,6.861276955370029,113.98385343065216,10.67632209286757
TCS,0.9991497897020447,12.363786224360732,474.7508354463573,21.788777740992202
