,R2,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
AIRTEL,0.06133464915382181,101.34681292180323,17451.108857694744,132.10264515782697
TATAMOTORS,0.07827754697389044,109.79963286981422,20144.710851661566,141.93206421264213
ITC,0.2172861914914399,71.3464663124322,7693.304307613387,87.7114833280876
CIPLA,0.7311118457719775,74.51383294907407,13102.716146185749,114.4670963473161
RAYMOND,0.5808100191404013,93.17396172643896,22165.292519756666,148.88012802169627
BAJAJELECTRICALS,0.794065463973149,39.03738759272097,6174.289650994803,78.5766482550306
L&T,0.756626228698351,151.7022710339035,51759.4376689601,227.50700575797683
RELIANCE,0.6511744024639103,147.61955411988848,70500.63433823355,265.5195554723485
SBI,0.2028209328820162,76.59213071780971,9055.095705698628,95.15826661777015
TATASTEEL,0.11384104512575521,147.44098520800245,36366.958590291935,190.7012286019467
TCS,0.27295875721969476,437.47409387608695,405974.1904373668,637.1610396417586
